M,N,total_satellites,distance_from_best,certification_priority,selected_for_search,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,certification_status,best_seed
42,44,1848,1,0,True,52.693145169639266,38.0,0.09796177876379046,6.169023104917315,False,6.805721804225559,1.0,0.8819444444444444,1.0000000000000002,0.9998337513299896,3.5905152758777934,1.0000000000000004,0.9972640218878254,0.0,5.0,1.0,0.9895833333333334,1.0000000000000004,0.9998337513299898,0.0,1.79947475761743,,4.0,73.0,5.978507533021,78.967982242497,288.0,731.0,86400.0,kdtree,True,False,57.24371249558804,False,completed,20361710.0
44,42,1848,1,0,True,52.387980584214574,43.0,5.481321351315254,4.324835382958835,False,16.87544174646602,1.0,0.78125,1.0000000000000002,0.9995582535339721,3.6101278689770475,1.0000000000000004,0.9931600547195627,0.0,5.0,1.0,0.9895833333333334,1.0000000000000004,0.9995582535339722,0.0,1.7884224990187902,,4.0,73.0,7.957015066042,84.986448304818,288.0,731.0,86400.0,kdtree,True,False,56.93854791016335,False,completed,20361727.0
56,33,1848,1,0,True,53.01133331848515,13.0,1.8714356494622448,2.7822738153624273,False,95.0218640750874,1.0,0.0,1.0000000000000002,0.978135924912601,3.572242172062622,1.0000000000000004,0.9671682626538991,0.0,10.0,1.0,0.8993055555555556,1.0000000000000004,0.9781359249126012,0.0,1.808877511438922,,4.0,73.0,5.978507533021,74.989327414166,288.0,731.0,86400.0,kdtree,True,False,57.561900644433926,False,completed,20361744.0
41,45,1845,4,0,True,50.01908951961009,33.0,0.6030463286935853,2.6608816262158337,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,3.69483869129047,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,1.7549738209504262,,4.0,73.0,4.0,73.0,288.0,731.0,86400.0,kdtree,True,True,54.56965684555887,False,completed,20361761.0
45,41,1845,4,0,True,51.98486036462465,0.0,1.3192656992594625,8.434059499313765,False,26.25104974160206,1.0,0.6875,1.0000000000000002,0.9989502583979333,3.6396203830369345,1.0000000000000004,0.9876880984952126,0.0,5.0,1.0,0.9826388888888888,1.0000000000000004,0.9989502583979333,0.0,1.8010344421988533,,4.0,73.0,4.0,118.616793475702,288.0,731.0,86400.0,kdtree,True,False,56.53542769057343,False,completed,20361778.0
40,46,1840,9,0,True,50.331343634531606,28.0,3.594136750965014,4.295683725698838,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,3.672912866697067,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,1.72960397718238,,4.0,73.0,4.0,73.0,288.0,731.0,86400.0,kdtree,True,True,54.88191096048038,False,completed,20361795.0
46,40,1840,9,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
51,36,1836,13,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
54,34,1836,13,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,47,1833,16,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
