M,N,total_satellites,distance_from_best,certification_priority,selected_for_search,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,certification_status,best_seed
31,48,1488,8,0,True,49.53144678907295,22.0,9.80364210909225,3.5316398094968733,False,10.781188250493985,0.8923611111111112,0.0,0.9998527511779908,0.941356969144247,2.9792189162486697,0.9986320109439129,0.9220246238030099,5.0,15.0,0.9930555555555556,0.6944444444444444,0.999852751177991,0.9413569691442469,0.0007883792268263619,1.4266349626074384,,4.0,74.98333884677,53.0,76.287567536381,288.0,731.0,86400.0,kdtree,False,False,54.08201411502173,False,completed,20261710.0
48,31,1488,8,0,True,54.55339162983919,0.0,5.246653099771277,4.54989093323872,False,41.683970778233764,0.5868055555555556,0.0,0.9946230430156562,0.8643743350053205,2.760863163094695,0.9644322845417241,0.8317373461012316,5.0,20.0,0.9236111111111112,0.6701388888888888,0.9946230430156564,0.8643743350053203,0.015206831052090692,1.4016157892004115,,11.914030132085,111.419252918928,5.978507533021,90.903946727492,288.0,731.0,86400.0,kdtree,False,False,59.10395895578797,False,completed,20261727.0
33,45,1485,11,0,True,53.22554080084995,0.0,3.464386765230537,3.717712417592242,False,45.189684982520134,0.5520833333333334,0.0,0.991963064295486,0.9143344353245177,2.858873879008968,0.9616963064295491,0.8878248974008213,10.0,20.0,0.9305555555555556,0.7465277777777778,0.991963064295486,0.9143344353245179,0.015265613776938733,1.4582648051746825,,17.849552731148,73.0,7.957015066042,114.952569066864,288.0,731.0,86400.0,kdtree,False,False,57.776108126798725,False,completed,20261744.0
45,33,1485,11,0,True,52.8810602581643,0.0,6.608483970133918,7.111205997740457,False,18.613310343517245,0.8159722222222222,0.0,0.9981380148958812,0.9028632770937838,2.876904734762121,0.9794801641586872,0.8768809849521207,5.0,10.0,0.9548611111111112,0.7673611111111112,0.9981380148958813,0.9028632770937837,0.008286920981381153,1.4512435817888292,,5.978507533021,84.935964484994,7.957015066042,126.939017371682,288.0,731.0,86400.0,kdtree,False,False,57.43162758411307,False,completed,20261761.0
55,27,1485,11,0,True,49.62190152691406,0.0,3.9249200070542916,1.756430185585234,False,39.00146298829608,0.6180555555555556,0.0,0.9898873309013531,0.8688155494756045,2.9754379464964282,0.9206566347469224,0.8139534883720932,5.0,15.0,0.8993055555555556,0.6875,0.9898873309013532,0.868815549475604,0.023951960210928797,1.424694038182745,,7.957015066042,82.988706920682,5.978507533021,76.978654828331,288.0,731.0,86400.0,kdtree,False,False,54.172468852862835,False,completed,20261778.0
53,28,1484,12,0,True,52.27114209582779,8.0,5.5084509488339055,8.056217248499376,False,32.67020063839488,0.6736111111111112,0.0,0.9995202538379695,0.9267840857273146,2.9054282565739475,0.9972640218878254,0.9097127222982221,5.0,15.0,0.9895833333333334,0.7604166666666666,0.9995202538379697,0.9267840857273146,0.0017750754802292076,1.43521017494999,,21.806567797191,81.523978308355,5.978507533021,104.829238626652,288.0,731.0,86400.0,kdtree,False,False,56.82170942177657,False,completed,20261795.0
38,39,1482,14,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
39,38,1482,14,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
57,26,1482,14,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
37,40,1480,16,0,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_run_mode_limit,
