generation,seed,best_total_satellites,global_best_total_satellites,best_constraint_violation,global_best_constraint_violation,feasible_count,mean_constraint_violation,mean_total_satellites,min_total_satellites,max_total_satellites
0,20360710,2193,2193,0.0,0.0,7,147.6201277817868,1478.6,117,3000
1,20360710,2064,2064,0.0,0.0,15,79.4763727390181,1934.3,558,2700
2,20360710,1978,1978,0.0,0.0,26,18.910963387292902,2166.5666666666666,1444,2700
3,20360710,1978,1978,0.0,0.0,26,17.326709194659774,1999.9333333333334,336,2295
4,20360710,1978,1978,0.0,0.0,28,13.32546153797436,1984.9666666666667,480,2322
5,20360710,1978,1978,0.0,0.0,26,15.75438611491108,1895.0333333333333,200,2162
6,20360710,1932,1932,1.424988599618704e-05,1.424988599618704e-05,28,13.111514382884934,1920.8666666666666,774,2070
7,20360710,1892,1892,1.424988599618704e-05,1.424988599618704e-05,25,16.35489863581091,1899.9,540,2070
8,20360710,1892,1892,1.424988599618704e-05,1.424988599618704e-05,27,4.465409193393116,1944.8666666666666,1840,2070
9,20360710,1892,1892,4.749961995620389e-06,4.749961995620389e-06,24,15.055198358413127,1867.2333333333333,924,2064
10,20360710,1892,1892,4.749961995620389e-06,4.749961995620389e-06,24,10.829763578558035,1914.6666666666667,1512,2068
11,20360710,1892,1892,0.0,0.0,21,20.612795447636415,1823.8666666666666,210,2332
12,20360710,1892,1892,0.0,0.0,23,16.83075378730303,1835.4,572,2025
13,20360710,1892,1892,0.0,0.0,26,3.7900328380706254,1903.6333333333334,1804,2025
14,20360710,1892,1892,0.0,0.0,23,19.956590097279214,1820.5333333333333,440,2024
15,20360710,1892,1892,0.0,0.0,20,11.972114081420678,1870.2666666666667,1591,1936
16,20360710,1892,1892,0.0,0.0,25,21.062723564878144,1796.6,129,1978
17,20360710,1892,1892,0.0,0.0,28,4.019202354714493,1905.1333333333334,1804,2200
18,20360710,1849,1849,2.3749809996864713e-05,2.3749809996864713e-05,22,20.909447357754463,1896.8666666666666,1056,2650
19,20360710,1849,1849,2.3749809996864713e-05,2.3749809996864713e-05,25,2.6736791938997793,1910.9666666666667,1804,2156
