generation,seed,best_total_satellites,global_best_total_satellites,best_constraint_violation,global_best_constraint_violation,feasible_count,mean_constraint_violation,mean_total_satellites,min_total_satellites,max_total_satellites
0,20260710,1672,1672,0.0,0.0,8,68.80025414160146,1592.8666666666666,52,3000
1,20260710,1672,1672,0.0,0.0,17,28.30443551451588,1793.1,429,3000
2,20260710,1672,1672,0.0,0.0,22,5.960848754876626,1933.5666666666666,912,2352
3,20260710,1672,1672,0.0,0.0,19,13.577248948675075,1851.2333333333333,1080,2401
4,20260710,1584,1584,0.0,0.0,27,5.214052129249632,1878.4666666666667,1520,2256
5,20260710,1584,1584,0.0,0.0,20,10.650373505345293,1779.9,1120,2400
6,20260710,1584,1584,0.0,0.0,21,11.88693158788063,1716.4,180,1936
7,20260710,1584,1584,0.0,0.0,24,2.6567856373815664,1768.1333333333334,1476,2024
8,20260710,1584,1584,0.0,0.0,20,18.84797794117647,1649.5666666666666,1050,1980
9,20260710,1540,1540,0.0,0.0,18,18.30600727694178,1558.7333333333333,258,1848
10,20260710,1540,1540,0.0,0.0,16,23.02920229138166,1514.9333333333334,490,1750
11,20260710,1540,1540,0.0,0.0,17,20.43753309140193,1549.7,1452,1800
12,20260710,1540,1540,0.0,0.0,11,34.18374943000456,1448.0666666666666,176,1628
13,20260710,1540,1540,0.0,0.0,16,16.267964831281347,1604.0666666666666,1452,2596
14,20260710,1540,1540,0.0,0.0,17,23.496834308658865,1575.4666666666667,396,2596
15,20260710,1496,1496,0.0,0.0,14,25.827221082231343,1488.1,770,1672
16,20260710,1496,1496,0.0,0.0,13,21.10123784009728,1552.4333333333334,1452,2024
17,20260710,1496,1496,0.0,0.0,17,24.96361022445154,1459.9333333333334,132,2024
18,20260710,1496,1496,0.0,0.0,16,23.917892948523072,1559.4666666666667,1408,2200
19,20260710,1496,1496,0.0,0.0,15,31.034754680295887,1487.7666666666667,306,2024
