time_seconds,left_plane,right_plane,kappa,feasible_count,maximum_distance_km,total_distance_km,matching_method
0.0,0,1,42,44,1028.2122937356482,30486.445168436832,cyclic_shift
0.0,1,2,42,44,1028.0986551655094,30486.44636756308,cyclic_shift
0.0,2,3,42,44,1027.9677466113485,30486.44762799279,cyclic_shift
0.0,3,4,42,44,1027.8195707131063,30486.448906801805,cyclic_shift
0.0,4,5,42,44,1027.6541304591449,30486.450160441957,cyclic_shift
0.0,5,6,42,44,1027.4714291862606,30486.451346224057,cyclic_shift
0.0,6,7,42,44,1027.271470579706,30486.452423771283,cyclic_shift
0.0,7,8,42,44,1027.0542586732083,30486.453356393744,cyclic_shift
0.0,8,9,42,44,1026.8197978489827,30486.45411233713,cyclic_shift
0.0,9,10,42,44,1026.5680928377735,30486.454665863723,cyclic_shift
0.0,10,11,42,44,1026.2991487188544,30486.45499812775,cyclic_shift
0.0,11,12,42,44,1026.0586017389396,30486.455097817063,cyclic_shift
0.0,12,13,42,44,1026.3421001394463,30486.454961537554,cyclic_shift
0.0,13,14,42,44,1026.6083639931971,30486.454593928895,cyclic_shift
0.0,14,15,42,44,1026.8573879265516,30486.45400750695,cyclic_shift
0.0,15,16,42,44,1027.089166914423,30486.45322223727,cyclic_shift
0.0,16,17,42,44,1027.303696280268,30486.45226485628,cyclic_shift
0.0,17,18,42,44,1027.5009716960606,30486.45116796143,cyclic_shift
0.0,18,19,42,44,1027.6809891822618,30486.449968901572,cyclic_shift
0.0,19,20,42,44,1027.843745107805,30486.44870850593,cyclic_shift
0.0,20,21,42,44,1027.9892361900686,30486.447429693966,cyclic_shift
0.0,21,22,42,44,1028.1174594948693,30486.446176014222,cyclic_shift
0.0,22,23,42,44,1028.2284124364633,30486.44499016153,cyclic_shift
0.0,23,24,42,44,1028.3220927774746,30486.443912521918,cyclic_shift
0.0,24,25,42,44,1028.398498628942,30486.4429797979,cyclic_shift
0.0,25,26,42,44,1028.4576284502991,30486.44222375747,cyclic_shift
0.0,26,27,42,44,1028.4994810493315,30486.441670151333,cyclic_shift
0.0,27,28,42,44,1028.5240555822259,30486.4413378362,cyclic_shift
0.0,28,29,42,44,1028.5313515535192,30486.44123813111,cyclic_shift
0.0,29,30,42,44,1028.5213688161039,30486.441374432325,cyclic_shift
0.0,30,31,42,44,1028.4941075712547,30486.44174209692,cyclic_shift
0.0,31,32,42,44,1028.4495683685982,30486.442328601865,cyclic_shift
0.0,32,33,42,44,1028.387752106137,30486.44311397024,cyclic_shift
0.0,33,0,31,44,1028.3086600302358,30486.44407145219,cyclic_shift
120.0,0,1,42,44,1027.8702487441249,30486.44848653636,cyclic_shift
120.0,1,2,42,44,1027.7104906680472,30486.449753246106,cyclic_shift
120.0,2,3,42,44,1027.533470436277,30486.45096596349,cyclic_shift
120.0,3,4,42,44,1027.339191619373,30486.45208339402,cyclic_shift
120.0,4,5,42,44,1027.1276581363536,30486.453067489234,cyclic_shift
120.0,5,6,42,44,1026.8988742547358,30486.453884742074,cyclic_shift
120.0,6,7,42,44,1026.6528445905378,30486.45450732699,cyclic_shift
120.0,7,8,42,44,1026.389574108317,30486.45491404701,cyclic_shift
120.0,8,9,42,44,1026.1090681211838,30486.45509105478,cyclic_shift
120.0,9,10,42,44,1026.250689694174,30486.45503232403,cyclic_shift
120.0,10,11,42,44,1026.5226268759286,30486.45473985419,cyclic_shift
120.0,11,12,42,44,1026.777325867529,30486.454223602825,cyclic_shift
120.0,12,13,42,44,1027.0147815291582,30486.453501146352,cyclic_shift
120.0,13,14,42,44,1027.2349890695557,30486.45259708227,cyclic_shift
120.0,14,15,42,44,1027.4379440459907,30486.451542192495,cyclic_shift
120.0,15,16,42,44,1027.6236423642163,30486.450372395087,cyclic_shift
120.0,16,17,42,44,1027.7920802784672,30486.44912752229,cyclic_shift
120.0,17,18,42,44,1027.9432543914413,30486.447849964523,cyclic_shift
120.0,18,19,42,44,1028.077161654269,30486.446583226978,cyclic_shift
120.0,19,20,42,44,1028.193799366512,30486.44537044831,cyclic_shift
120.0,20,21,42,44,1028.29316517613,30486.444252931255,cyclic_shift
120.0,21,22,42,44,1028.375257079487,30486.44326873586,cyclic_shift
120.0,22,23,42,44,1028.4400734213566,30486.44245138309,cyclic_shift
120.0,23,24,42,44,1028.4876128948579,30486.44182871158,cyclic_shift
120.0,24,25,42,44,1028.5178745414917,30486.44142193021,cyclic_shift
120.0,25,26,42,44,1028.5308577511412,30486.44124489456,cyclic_shift
120.0,26,27,42,44,1028.5265622620364,30486.441303634554,cyclic_shift
120.0,27,28,42,44,1028.5049881607943,30486.441596149692,cyclic_shift
120.0,28,29,42,44,1028.466135882378,30486.442112476292,cyclic_shift
120.0,29,30,42,44,1028.410006210114,30486.44283502782,cyclic_shift
120.0,30,31,42,44,1028.3366002757134,30486.44373919356,cyclic_shift
120.0,31,32,42,44,1028.2459195592542,30486.444794178307,cyclic_shift
120.0,32,33,42,44,1028.1379658891963,30486.445964050996,cyclic_shift
120.0,33,0,31,44,1028.0127414423991,30486.44720896917,cyclic_shift
240.0,0,1,42,44,1027.405043312498,30486.451728534674,cyclic_shift
240.0,1,2,42,44,1027.1991887152965,30486.45276046338,cyclic_shift
240.0,2,3,42,44,1026.976082276377,30486.453636003407,cyclic_shift
240.0,3,4,42,44,1026.7357284970442,30486.454325344395,cyclic_shift
240.0,4,5,42,44,1026.4781322271301,30486.45480501628,cyclic_shift
240.0,5,6,42,44,1026.203298665023,30486.455058688087,cyclic_shift
240.0,6,7,42,44,1026.1574122819457,30486.455077723265,cyclic_shift
240.0,7,8,42,44,1026.4350221971038,30486.45486147377,cyclic_shift
240.0,8,9,42,44,1026.6953956901039,30486.454417301942,cyclic_shift
240.0,9,10,42,44,1026.938527506415,30486.453760330274,cyclic_shift
240.0,10,11,42,44,1027.1644127400484,30486.452912926507,cyclic_shift
240.0,11,12,42,44,1027.3730468335627,30486.451903943,cyclic_shift
240.0,12,13,42,44,1027.5644255780012,30486.450767734386,cyclic_shift
240.0,13,14,42,44,1027.7385451129032,30486.449542988605,cyclic_shift
240.0,14,15,42,44,1027.895401926277,30486.448271410314,cyclic_shift
240.0,15,16,42,44,1028.034992854566,30486.446996300325,cyclic_shift
240.0,16,17,42,44,1028.1573150826432,30486.44576108176,cyclic_shift
240.0,17,18,42,44,1028.2623661438017,30486.444607821173,cyclic_shift
240.0,18,19,42,44,1028.3501439197344,30486.44357579542,cyclic_shift
240.0,19,20,42,44,1028.4206466405271,30486.442700153835,cyclic_shift
240.0,20,21,42,44,1028.4738728846369,30486.442010720402,cyclic_shift
240.0,21,22,42,44,1028.5098215789087,30486.441530977605,cyclic_shift
240.0,22,23,42,44,1028.5284919985625,30486.441277266356,cyclic_shift
240.0,23,24,42,44,1028.5298837671635,30486.441258228147,cyclic_shift
240.0,24,25,42,44,1028.5139968566505,30486.441474511597,cyclic_shift
240.0,25,26,42,44,1028.4808315873338,30486.441918749784,cyclic_shift
240.0,26,27,42,44,1028.4303886278751,30486.44257581108,cyclic_shift
240.0,27,28,42,44,1028.3626689953192,30486.44342331585,cyclic_shift
240.0,28,29,42,44,1028.2776740550842,30486.444432398093,cyclic_shift
240.0,29,30,42,44,1028.1754055209412,30486.445568689876,cyclic_shift
240.0,30,31,42,44,1028.0558654550962,30486.44679349167,cyclic_shift
240.0,31,32,42,44,1027.9190562681165,30486.448065091663,cyclic_shift
240.0,32,33,42,44,1027.7649807190028,30486.44934018597,cyclic_shift
240.0,33,0,31,44,1027.5936419151767,30486.450575353414,cyclic_shift
360.0,0,1,42,44,1026.8167443760865,30486.45412058881,cyclic_shift
360.0,1,2,42,44,1026.5648228816692,30486.45467143889,cyclic_shift
360.0,2,3,42,44,1026.2956623455339,30486.455000836635,cyclic_shift
360.0,3,4,42,44,1026.0622681067343,30486.455097567366,cyclic_shift
360.0,4,5,42,44,1026.3455501482574,30486.454958337763,cyclic_shift
360.0,5,6,42,44,1026.6115975733965,30486.454587888085,cyclic_shift
360.0,6,7,42,44,1026.8604050128797,30486.453998830668,cyclic_shift
360.0,7,8,42,44,1027.0919674460054,30486.45321122098,cyclic_shift
360.0,8,9,42,44,1027.3062802006007,30486.45225187503,cyclic_shift
360.0,9,10,42,44,1027.503338953018,30486.451153457245,cyclic_shift
360.0,10,11,42,44,1027.6831397280896,30486.44995336826,cyclic_shift
360.0,11,12,42,44,1027.8456788991318,30486.4486924725,cyclic_shift
360.0,12,13,42,44,1027.9909531878923,30486.447413706435,cyclic_shift
360.0,13,14,42,44,1028.1189596645643,30486.44616061698,cyclic_shift
360.0,14,15,42,44,1028.2296957477706,30486.444975878872,cyclic_shift
360.0,15,16,42,44,1028.323159204523,30486.443899840382,cyclic_shift
360.0,16,17,42,44,1028.3993481502296,30486.442969149346,cyclic_shift
360.0,17,18,42,44,1028.458261048694,30486.44221550457,cyclic_shift
360.0,18,19,42,44,1028.4998967120878,30486.441664575348,cyclic_shift
360.0,19,20,42,44,1028.524254300958,30486.441335126972,cyclic_shift
360.0,20,21,42,44,1028.5313333242113,30486.441238380863,cyclic_shift
360.0,21,22,42,44,1028.521133639131,30486.441377632367,cyclic_shift
360.0,22,23,42,44,1028.493655451363,30486.44174813863,cyclic_shift
360.0,23,24,42,44,1028.448899314899,30486.442337279284,cyclic_shift
360.0,24,25,42,44,1028.3868661321208,30486.443124987793,cyclic_shift
360.0,25,26,42,44,1028.307557153766,30486.444084434737,cyclic_shift
360.0,26,27,42,44,1028.2109739789578,30486.445182942018,cyclic_shift
360.0,27,28,42,44,1028.0971185552169,30486.446383096987,cyclic_shift
360.0,28,29,42,44,1027.9659931784406,30486.4476440264,cyclic_shift
360.0,29,30,42,44,1027.8176004929428,30486.4489227892,cyclic_shift
360.0,30,31,42,44,1027.651943491462,30486.4501758386,cyclic_shift
360.0,31,32,42,44,1027.4690255151686,30486.451360505675,cyclic_shift
360.0,32,33,42,44,1027.2688502536942,30486.452436451622,cyclic_shift
360.0,33,0,31,44,1027.0514217451325,30486.453367040962,cyclic_shift
480.0,0,1,42,44,1026.1054366031199,30486.455091782904,cyclic_shift
480.0,1,2,42,44,1026.2542109250285,30486.45503008813,cyclic_shift
480.0,2,3,42,44,1026.5259317006066,30486.454734730443,cyclic_shift
480.0,3,4,42,44,1026.780414219331,30486.454215765592,cyclic_shift
480.0,4,5,42,44,1027.0176533457663,30486.453490862445,cyclic_shift
480.0,5,6,42,44,1027.2376442930317,30486.45258470198,cyclic_shift
480.0,6,7,42,44,1027.4403826227633,30486.45152813724,cyclic_shift
480.0,7,8,42,44,1027.6258642450969,30486.450357143483,cyclic_shift
480.0,8,9,42,44,1027.794085418638,30486.449111593654,cyclic_shift
480.0,9,10,42,44,1027.945042750463,30486.447833901297,cyclic_shift
480.0,10,11,42,44,1028.0787331960737,30486.44656757611,cyclic_shift
480.0,11,12,42,44,1028.195154059409,30486.445355742868,cyclic_shift
480.0,12,13,42,44,1028.2943029928028,30486.44423967209,cyclic_shift
480.0,13,14,42,44,1028.3761779969966,30486.44325737453,cyclic_shift
480.0,14,15,42,44,1028.4407774211277,30486.44244230646,cyclic_shift
480.0,15,16,42,44,1028.488099962696,30486.441822228924,cyclic_shift
480.0,16,17,42,44,1028.5181446675792,30486.44141826224,cyclic_shift
480.0,17,18,42,44,1028.5309109300315,30486.441244166213,cyclic_shift
480.0,18,19,42,44,1028.5263984926648,30486.44130587081,cyclic_shift
480.0,19,20,42,44,1028.504607446459,30486.44160127428,cyclic_shift
480.0,20,21,42,44,1028.4655382307446,30486.442120314634,cyclic_shift
480.0,21,22,42,44,1028.409191633236,30486.442845312737,cyclic_shift
480.0,22,23,42,44,1028.3355687900244,30486.44375157511,cyclic_shift
480.0,23,24,42,44,1028.2446711855446,30486.44480823464,cyclic_shift
480.0,24,25,42,44,1028.1365006526414,30486.445979303364,cyclic_shift
480.0,25,26,42,44,1028.0110593725474,30486.44722489823,cyclic_shift
480.0,26,27,42,44,1027.868349874892,30486.44850259947,cyclic_shift
480.0,27,28,42,44,1027.7083750377305,30486.449768896346,cyclic_shift
480.0,28,29,42,44,1027.5311380875542,30486.450980667963,cyclic_shift
480.0,29,30,42,44,1027.3366425992829,30486.452096652116,cyclic_shift
480.0,30,31,42,44,1027.1248924963238,30486.453078849405,cyclic_shift
480.0,31,32,42,44,1026.8958920505627,30486.45389381753,cyclic_shift
480.0,32,33,42,44,1026.649645882391,30486.454513808763,cyclic_shift
480.0,33,0,31,44,1026.3861589607466,30486.45491771426,cyclic_shift
600.0,0,1,42,44,1026.698555300629,30486.454410332746,cyclic_shift
600.0,1,2,42,44,1026.9414706017749,30486.453750816916,cyclic_shift
600.0,2,3,42,44,1027.1671392608648,30486.452901192944,cyclic_shift
600.0,3,4,42,44,1027.3755567248227,30486.451890388675,cyclic_shift
600.0,4,5,42,44,1027.566718789074,30486.450752820794,cyclic_shift
600.0,5,6,42,44,1027.740621597539,30486.4495272237,cyclic_shift
600.0,6,7,42,44,1027.8972616425892,30486.448255330815,cyclic_shift
600.0,7,8,42,44,1028.0366357650496,30486.44698045383,cyclic_shift
600.0,8,9,42,44,1028.1587411541673,30486.44574600792,cyclic_shift
600.0,9,10,42,44,1028.2635753476118,30486.444594033353,cyclic_shift
600.0,10,11,42,44,1028.351136231443,30486.44356376317,cyclic_shift
600.0,11,12,42,44,1028.4214220401288,30486.442690287033,cyclic_shift
600.0,12,13,42,44,1028.4744313565,30486.442003355125,cyclic_shift
600.0,13,14,42,44,1028.5101631117707,30486.441526364655,cyclic_shift
600.0,14,15,42,44,1028.5286165855368,30486.44127556282,cyclic_shift
