ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
0,4.0,73.0,2,2.5,3,617.1216057555284
1,4.0,76.0,2,2.25,3,615.5762373414055
2,4.0,79.0,2,2.5833333333333335,3,611.0154468837527
3,4.0,82.0,2,2.5,3,616.2758727527779
4,4.0,85.0,2,2.5833333333333335,4,625.9266782580947
5,4.0,88.0,2,2.25,4,613.1691333168626
6,4.0,91.0,2,2.3333333333333335,3,609.6496352655953
7,4.0,94.0,2,2.4166666666666665,3,612.792634337915
8,4.0,97.0,2,2.4166666666666665,4,613.1608132234013
9,4.0,100.0,2,2.4166666666666665,4,615.6435327806561
10,4.0,103.0,2,2.5,3,612.9455829445714
11,4.0,106.0,2,2.5,3,609.8490437255177
12,4.0,109.0,2,2.4166666666666665,3,619.468394470692
13,4.0,112.0,2,2.5,3,627.0519655396305
14,4.0,115.0,2,2.5833333333333335,3,614.332941621555
15,4.0,118.0,2,2.4166666666666665,3,610.9474860560996
16,4.0,121.0,2,2.25,3,617.7217570120389
17,4.0,124.0,2,2.3333333333333335,3,615.7651789141019
18,4.0,127.0,2,2.4166666666666665,3,610.5061910961637
19,4.0,130.0,2,2.4166666666666665,3,612.7584706120186
20,4.0,133.0,2,2.4166666666666665,3,608.6635956181773
21,4.0,135.0,2,2.4166666666666665,4,614.2583864162177
22,7.0,73.0,2,2.3333333333333335,3,609.2612868516596
23,7.0,76.0,2,2.4166666666666665,3,616.4461910759211
24,7.0,79.0,2,2.1666666666666665,3,613.8139185256506
25,7.0,82.0,2,2.5,3,609.77233068385
26,7.0,85.0,2,2.5833333333333335,3,611.165053560731
27,7.0,88.0,2,2.3333333333333335,3,608.982311920873
28,7.0,91.0,2,2.4166666666666665,4,619.8451572811049
29,7.0,94.0,2,2.5833333333333335,4,621.2062643043278
30,7.0,97.0,2,2.4166666666666665,3,614.3025449155208
31,7.0,100.0,2,2.3333333333333335,3,613.2571516508834
32,7.0,103.0,2,2.5,4,619.8918163062848
33,7.0,106.0,2,2.4166666666666665,4,614.3935863334281
34,7.0,109.0,2,2.25,3,608.8145261031588
35,7.0,112.0,2,2.5,3,609.9986463268702
