time_seconds,mean_delay_ms,p95_delay_ms,max_delay_ms,mean_hops,max_hops,reachable_count
0.0,21.491072478887613,31.273401316220458,35.49143077002025,4.555555555555555,8,9
600.0,24.3707114277734,41.21832840930125,44.42561571203567,5.444444444444445,12,9
1200.0,20.679765884376582,38.29384302121781,44.99965204727772,4.444444444444445,11,9
1800.0,17.414821009450733,30.206978282618675,33.29709899991566,3.7777777777777777,9,9
2400.0,18.7716580924343,29.793765164744435,30.123635036591164,4.125,8,8
3000.0,16.58362268821389,26.108851830654956,28.23545486879802,3.75,8,8
3600.0,22.009923171794938,35.15917433158951,38.36894792580768,5.25,11,8
4200.0,17.689192619042363,34.26408769878892,38.52885484632167,3.875,11,8
4800.0,18.61460933765887,29.005450293391117,29.658006679877687,4.25,7,8
5400.0,18.725685395321218,28.135603714768138,30.453089756803006,4.125,8,8
6000.0,23.12183654222274,33.60882592606198,34.77820311090101,5.5,10,8
6600.0,23.610957637839107,33.92736145092999,35.00083583673477,5.375,9,8
