time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
0.0,42,590,20.0,26.772685669817754
0.0,42,1563,20.0,28.27981792090862
0.0,42,1562,20.0,24.63352902585182
0.0,49,635,20.0,29.91112804877509
0.0,49,1608,20.0,27.969460666534328
0.0,34,1517,20.0,26.206926040794688
0.0,34,545,20.0,24.004538167782155
0.0,34,544,20.0,27.66975910351134
0.0,7,1335,20.0,31.209968162643275
0.0,7,409,20.0,25.158972917225906
0.0,15,454,20.0,24.609729087549475
0.0,15,1381,20.0,31.117965946000588
0.0,21,499,20.0,25.35644688503648
0.0,28,1426,20.0,28.197303239158558
0.0,38,1472,20.0,30.126556433483834
0.0,38,589,20.0,30.8863131739574
0.0,8,1336,20.0,34.517570422333
0.0,62,1653,20.0,27.373943237321903
0.0,62,680,20.0,33.60656695507818
0.0,62,681,20.0,31.18081483124753
0.0,6,408,20.0,29.015999138792733
0.0,0,1290,20.0,34.286818917303044
0.0,0,363,20.0,29.58646556284682
0.0,66,364,20.0,25.91080883260141
0.0,74,1380,20.0,28.2537070959963
0.0,90,500,20.0,22.176987537358183
0.0,184,636,20.0,27.976392921112467
0.0,175,1607,20.0,24.230253780736223
0.0,147,1471,20.0,25.649024553581484
0.0,211,455,20.0,21.50127821503175
0.0,309,1652,20.0,24.096298366734363
0.0,298,591,20.0,24.79769887692876
0.0,280,1516,20.0,23.572414604470346
0.0,328,410,20.0,21.66802735580329
300.0,42,1560,20.0,22.177754563002168
300.0,42,587,20.0,25.274466808244142
300.0,49,1605,20.0,21.592814672702133
300.0,49,633,20.0,25.502606801639775
300.0,49,632,20.0,28.754256900049587
300.0,34,1515,20.0,23.579590247128827
300.0,34,542,20.0,23.02724067166782
300.0,7,1379,20.0,30.093288766835315
300.0,7,406,20.0,27.26910439481183
300.0,45,588,20.0,22.42793349747508
300.0,15,1424,20.0,26.984309705824092
300.0,15,452,20.0,23.569750489925003
300.0,15,451,20.0,27.281903511238603
300.0,18,1425,20.0,30.061133950550726
300.0,18,496,20.0,27.083220959460444
300.0,21,497,20.0,23.229632852731772
300.0,21,1469,20.0,24.06426498397702
300.0,47,1561,20.0,26.36897162150717
300.0,28,1470,20.0,26.445686830792496
300.0,62,1651,20.0,24.539325478381457
300.0,62,678,20.0,28.65515112444294
300.0,53,1606,20.0,25.09577538120005
300.0,0,1288,20.0,33.53613740996356
300.0,0,361,20.0,29.59748839602016
300.0,118,1650,20.0,21.565039742874045
300.0,71,407,20.0,23.9909101297485
300.0,127,1378,20.0,29.425595431972543
300.0,162,543,20.0,20.33645576100218
300.0,155,1514,20.0,21.35107559221729
300.0,189,362,20.0,26.17852167652753
300.0,251,679,20.0,26.760342184619834
300.0,251,1695,20.0,22.766873986243272
300.0,309,634,20.0,23.53118688886571
300.0,280,498,20.0,20.26980682677247
600.0,42,1558,20.0,21.767446612875776
600.0,42,585,20.0,22.41073698689579
600.0,49,1603,20.0,20.575402804887467
600.0,49,630,20.0,24.51402201274341
600.0,34,1513,20.0,24.08294034598068
600.0,34,540,20.0,21.022700267065396
600.0,31,1512,20.0,21.215233040512178
600.0,7,1377,20.0,29.6733051402438
600.0,7,404,20.0,25.11655890554563
600.0,15,1422,20.0,26.160623536080355
600.0,15,449,20.0,23.674501119024022
600.0,18,494,20.0,23.426485028801974
600.0,21,1467,20.0,23.614895327797417
600.0,28,539,20.0,23.95916099568378
600.0,28,1468,20.0,27.165009498305036
600.0,62,1649,20.0,26.320022776228612
600.0,62,676,20.0,25.69549052473096
600.0,53,675,20.0,28.150431481662864
600.0,55,1648,20.0,22.777478836482437
600.0,0,1332,20.0,33.4097600432354
600.0,0,403,20.0,29.099806872852522
600.0,0,359,20.0,27.400126746685046
600.0,3,1376,20.0,29.366906506917424
600.0,24,495,20.0,21.043088315985454
600.0,101,1557,20.0,19.320485195146098
600.0,114,631,20.0,22.47549154007025
600.0,143,450,20.0,21.227376646757442
600.0,138,1421,20.0,26.109928177707992
600.0,188,1693,20.0,24.890716701267117
600.0,236,586,20.0,20.35903835553072
600.0,235,1602,20.0,18.066656901803388
600.0,263,405,20.0,22.594778187669714
600.0,289,541,20.0,18.9346964511583
600.0,269,1466,20.0,23.213000095676335
900.0,42,583,20.0,28.261404138169986
900.0,42,1556,20.0,32.00055224234775
900.0,49,628,20.0,30.810303357440198
900.0,49,1601,20.0,31.021423904476997
900.0,34,582,20.0,31.352736744303936
900.0,34,1510,20.0,30.29707972105067
900.0,31,537,20.0,28.752506177891892
900.0,7,446,20.0,29.45678055277177
900.0,7,1374,20.0,33.35351626934019
900.0,7,402,20.0,25.60755895292165
900.0,15,1420,20.0,33.51306480455755
900.0,15,447,20.0,25.64392472500085
900.0,18,492,20.0,26.72214499062476
900.0,21,1465,20.0,31.46831842016748
900.0,38,1555,20.0,28.79967587271273
900.0,8,1419,20.0,30.808092681101748
900.0,8,1375,20.0,36.507067250280606
900.0,62,718,20.0,37.42900409821564
900.0,62,1646,20.0,30.638790653680772
900.0,62,1691,20.0,31.3226848341088
900.0,53,673,20.0,34.2086750909315
900.0,0,401,20.0,28.72144385929727
900.0,0,1329,20.0,36.62414283713907
900.0,109,1600,20.0,27.64360790784967
900.0,80,1464,20.0,28.841751848829684
900.0,96,538,20.0,25.87715879880121
