time_seconds,left_plane,right_plane,kappa,feasible_count,maximum_distance_km,total_distance_km,matching_method
0.0,0,1,45,46,930.1668988639017,32032.96977430467,cyclic_shift
0.0,1,2,45,46,931.211857989702,32032.969774389756,cyclic_shift
0.0,2,3,45,46,930.997225874265,32032.969774362922,cyclic_shift
0.0,3,4,45,46,929.5390538883353,32032.969774294408,cyclic_shift
0.0,4,5,45,46,931.0034245562242,32032.96977436358,cyclic_shift
0.0,5,6,45,46,931.2087581910106,32032.96977438938,cyclic_shift
0.0,6,7,45,46,930.1545088253436,32032.969774304238,cyclic_shift
0.0,7,8,45,46,930.6550705355539,32032.969774331108,cyclic_shift
0.0,8,9,45,46,931.2803092724745,32032.969774399597,cyclic_shift
0.0,9,10,45,46,930.6457748014891,32032.969774330377,cyclic_shift
0.0,10,11,45,46,930.1668988638988,32032.969774304638,cyclic_shift
0.0,11,12,45,46,931.2118579897004,32032.969774389854,cyclic_shift
0.0,12,13,45,46,930.9972258742627,32032.969774362886,cyclic_shift
0.0,13,14,45,46,929.5390538883335,32032.9697742944,cyclic_shift
0.0,14,15,45,46,931.003424556227,32032.96977436363,cyclic_shift
0.0,15,16,45,46,931.2087581910099,32032.969774389352,cyclic_shift
0.0,16,17,45,46,930.1545088253403,32032.9697743042,cyclic_shift
0.0,17,18,45,46,930.655070535554,32032.96977433115,cyclic_shift
0.0,18,19,45,46,931.2803092724744,32032.969774399564,cyclic_shift
0.0,19,20,45,46,930.6457748014892,32032.969774330373,cyclic_shift
0.0,20,21,45,46,930.1668988639,32032.969774304664,cyclic_shift
0.0,21,22,45,46,931.2118579896992,32032.969774389716,cyclic_shift
0.0,22,23,45,46,930.997225874265,32032.96977436301,cyclic_shift
0.0,23,24,45,46,929.5390538883338,32032.969774294445,cyclic_shift
0.0,24,25,45,46,931.0034245562223,32032.96977436347,cyclic_shift
0.0,25,26,45,46,931.2087581910096,32032.96977438934,cyclic_shift
0.0,26,27,45,46,930.1545088253487,32032.96977430448,cyclic_shift
0.0,27,28,45,46,930.6550705355478,32032.969774330835,cyclic_shift
0.0,28,29,45,46,931.2803092724805,32032.96977439984,cyclic_shift
0.0,29,30,45,46,930.6457748014831,32032.969774330213,cyclic_shift
0.0,30,31,45,46,930.1668988639036,32032.969774304845,cyclic_shift
0.0,31,32,45,46,931.2118579896959,32032.96977438962,cyclic_shift
0.0,32,33,45,46,930.9972258742697,32032.969774363104,cyclic_shift
0.0,33,34,45,46,929.5390538883282,32032.969774294143,cyclic_shift
0.0,34,35,45,46,931.0034245562307,32032.969774363883,cyclic_shift
0.0,35,36,45,46,931.2087581910067,32032.969774389174,cyclic_shift
0.0,36,37,45,46,930.1545088253491,32032.969774304336,cyclic_shift
0.0,37,38,45,46,930.6550705355482,32032.969774330923,cyclic_shift
0.0,38,39,45,46,931.280309272483,32032.9697743999,cyclic_shift
0.0,39,0,27,46,930.6457748014905,32032.969774330326,cyclic_shift
30.0,0,1,45,46,930.3719852372253,32032.969774313417,cyclic_shift
30.0,1,2,45,46,930.4726209487606,32032.969774318866,cyclic_shift
30.0,2,3,45,46,931.2692707540596,32032.969774397992,cyclic_shift
30.0,3,4,45,46,930.8061766942345,32032.969774343637,cyclic_shift
30.0,4,5,45,46,929.9273975913859,32032.969774298075,cyclic_shift
30.0,5,6,45,46,931.1436566766433,32032.96977438064,cyclic_shift
30.0,6,7,45,46,931.100505842456,32032.96977437514,cyclic_shift
30.0,7,8,45,46,929.7980598208668,32032.96977429603,cyclic_shift
30.0,8,9,45,46,930.8780805904304,32032.969774350386,cyclic_shift
30.0,9,10,45,46,931.2548857267388,32032.96977439588,cyclic_shift
30.0,10,11,45,46,930.3719852372254,32032.969774313373,cyclic_shift
30.0,11,12,45,46,930.4726209487594,32032.969774318954,cyclic_shift
30.0,12,13,45,46,931.2692707540583,32032.969774397952,cyclic_shift
30.0,13,14,45,46,930.8061766942343,32032.969774343626,cyclic_shift
30.0,14,15,45,46,929.9273975913886,32032.969774298133,cyclic_shift
30.0,15,16,45,46,931.1436566766434,32032.969774380614,cyclic_shift
30.0,16,17,45,46,931.1005058424519,32032.9697743751,cyclic_shift
30.0,17,18,45,46,929.7980598208675,32032.96977429607,cyclic_shift
30.0,18,19,45,46,930.8780805904304,32032.969774350346,cyclic_shift
30.0,19,20,45,46,931.2548857267388,32032.969774395882,cyclic_shift
30.0,20,21,45,46,930.3719852372269,32032.96977431341,cyclic_shift
30.0,21,22,45,46,930.4726209487577,32032.96977431882,cyclic_shift
30.0,22,23,45,46,931.2692707540604,32032.96977439809,cyclic_shift
30.0,23,24,45,46,930.8061766942334,32032.96977434366,cyclic_shift
30.0,24,25,45,46,929.9273975913834,32032.96977429798,cyclic_shift
30.0,25,26,45,46,931.1436566766425,32032.9697743806,cyclic_shift
30.0,26,27,45,46,931.1005058424611,32032.969774375397,cyclic_shift
30.0,27,28,45,46,929.7980598208602,32032.969774295743,cyclic_shift
