ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
0,4.0,73.0,2,2.388888888888889,4,614.9276306299594
1,4.0,74.0,2,2.4131944444444446,4,615.1577606904498
2,4.0,75.0,2,2.4097222222222223,4,615.0486779690734
3,4.0,76.0,2,2.4097222222222223,4,614.8446311946022
4,4.0,77.0,2,2.40625,4,614.8091558126434
5,4.0,78.0,2,2.40625,4,615.0963953250829
6,4.0,79.0,2,2.3993055555555554,4,615.3748578179052
7,4.0,80.0,1,2.4097222222222223,4,615.0854501376848
8,4.0,81.0,2,2.423611111111111,4,614.8171387897165
9,4.0,82.0,2,2.420138888888889,4,614.947543378815
10,4.0,83.0,2,2.4131944444444446,4,615.132533781976
11,4.0,84.0,2,2.4166666666666665,4,615.239329948568
12,4.0,85.0,2,2.3958333333333335,4,615.3148823419502
13,4.0,86.0,2,2.4131944444444446,4,615.2549520496009
14,4.0,87.0,2,2.423611111111111,4,615.1031148444372
15,4.0,88.0,1,2.4027777777777777,4,614.7922142895137
16,4.0,89.0,2,2.4097222222222223,4,614.7168118819269
17,4.0,90.0,2,2.392361111111111,4,615.0653363045038
18,4.0,91.0,2,2.3993055555555554,4,615.0797851406567
19,4.0,92.0,2,2.4270833333333335,4,614.9259951319531
20,4.0,93.0,2,2.4270833333333335,4,615.0036995190036
21,4.0,94.0,2,2.420138888888889,4,614.9345373870104
22,4.0,95.0,2,2.40625,4,614.7594047763246
23,4.0,96.0,2,2.4131944444444446,4,614.6274722429393
24,4.0,97.0,2,2.4027777777777777,4,614.6621005915035
25,4.0,98.0,2,2.4166666666666665,4,615.0239064097431
26,4.0,99.0,2,2.4166666666666665,4,614.8400666519791
27,4.0,100.0,2,2.420138888888889,4,614.4687575422629
28,4.0,101.0,2,2.4131944444444446,4,614.7095650338812
29,4.0,102.0,2,2.4131944444444446,4,615.0651638051647
30,4.0,103.0,2,2.4097222222222223,4,615.1663799161709
31,4.0,104.0,2,2.4097222222222223,4,615.0344779011562
32,4.0,105.0,2,2.423611111111111,4,614.8138128554253
33,4.0,106.0,2,2.423611111111111,4,615.0198386060179
34,4.0,107.0,2,2.4131944444444446,4,614.8882413362105
35,4.0,108.0,2,2.4027777777777777,4,614.7523922698825
36,4.0,109.0,2,2.4097222222222223,4,615.1445359944757
37,4.0,110.0,2,2.4097222222222223,4,615.3101323076344
38,4.0,111.0,2,2.423611111111111,4,615.2075144370347
39,4.0,112.0,2,2.4340277777777777,4,615.282985994869
40,4.0,113.0,2,2.420138888888889,4,615.1425664794489
41,4.0,114.0,2,2.3993055555555554,4,615.1884809695464
42,4.0,115.0,2,2.420138888888889,4,615.0827746836035
43,4.0,116.0,2,2.40625,4,614.8576757138429
44,4.0,117.0,2,2.4097222222222223,4,615.1798399321393
45,4.0,118.0,2,2.4166666666666665,4,615.1896150954992
46,4.0,119.0,2,2.420138888888889,4,614.8080635463926
47,4.0,120.0,2,2.4027777777777777,4,614.9516606620213
48,4.0,121.0,2,2.4131944444444446,4,615.1421024334963
49,4.0,122.0,2,2.4027777777777777,4,615.2444346973502
50,4.0,123.0,2,2.4270833333333335,4,614.9941628750154
51,4.0,124.0,2,2.4409722222222223,4,614.5853568783293
52,4.0,125.0,2,2.40625,4,614.9143877377777
53,4.0,126.0,2,2.3958333333333335,4,614.9185694537456
54,4.0,127.0,2,2.40625,4,614.593339699196
55,4.0,128.0,2,2.4027777777777777,4,614.6646642053995
56,4.0,129.0,2,2.4097222222222223,4,614.8287900709493
57,4.0,130.0,2,2.420138888888889,4,614.9053144075154
58,4.0,131.0,2,2.4166666666666665,4,614.9122592445345
59,4.0,132.0,2,2.4166666666666665,4,614.682974377984
60,4.0,133.0,2,2.4097222222222223,4,614.9706253020605
61,4.0,134.0,2,2.4027777777777777,4,614.9218193053583
62,4.0,135.0,2,2.4166666666666665,4,614.643789803675
63,5.0,73.0,2,2.4097222222222223,4,609.715971445899
64,5.0,74.0,2,2.4131944444444446,4,610.0700210106987
65,5.0,75.0,2,2.4340277777777777,4,610.1856011923464
66,5.0,76.0,2,2.4166666666666665,4,610.0503229186836
67,5.0,77.0,2,2.4097222222222223,4,610.1739676851053
68,5.0,78.0,2,2.4131944444444446,4,610.2042689118904
69,5.0,79.0,2,2.3958333333333335,4,610.1058073082417
70,5.0,80.0,2,2.420138888888889,4,610.1424524807676
71,5.0,81.0,2,2.4305555555555554,4,610.0445796363645
72,5.0,82.0,2,2.4166666666666665,4,609.8841739854001
73,5.0,83.0,2,2.420138888888889,4,610.116051114625
