source_lat,source_lon,destination_lat,destination_lon,time_seconds,ground_distance_km,ingress_satellite,egress_satellite,satellite_path,ISL_hop_count,satellite_count,uplink_distance_km,ISL_total_distance_km,downlink_distance_km,propagation_delay_ms,processing_delay_ms,processing_delay_isl_only_ms,total_delay_ms,total_delay_isl_processing_ms,reachable,source_ground_index,destination_ground_index,pair_index
4.0,73.0,53.0,135.0,0.0,7813.879815322156,363,282,"[363, 364, 365, 366, 367, 322, 323, 324, 325, 326, 327, 282]",11,12,746.1746438988836,9869.162528594445,697.8943905138278,37.73687850081658,6.0,5.5,43.73687850081657,43.23687850081658,True,0,3149,0
4.0,135.0,53.0,73.0,300.0,7813.879815322154,1651,1731,"[1651, 1650, 1649, 1648, 1647, 1646, 1645, 1644, 1643, 1642, 1641, 1686, 1731]",12,13,558.1713900622623,10281.175115979298,678.1425537496106,38.41820817183857,6.5,6.0,44.91820817183857,44.41820817183857,True,62,3087,1
4.0,73.0,4.0,135.0,600.0,6875.443603489902,359,676,"[359, 360, 361, 406, 451, 496, 541, 586, 631, 676]",9,10,750.9008544736777,8154.2647682272545,693.2293107104869,32.01679921317907,5.0,4.5,37.01679921317907,36.51679921317907,True,0,62,2
53.0,73.0,53.0,135.0,900.0,4015.622051678244,1816,230,"[1816, 1817, 4, 49, 94, 139, 140, 185, 230]",8,9,664.9398696895599,4359.721296756656,667.1240072154674,18.985751715147163,4.5,4.0,23.485751715147163,22.985751715147163,True,3087,3149,3
28.0,104.0,4.0,73.0,1200.0,4228.2198622206315,448,399,"[448, 403, 402, 401, 400, 399]",5,6,586.6808951737332,4567.693012684871,582.3734230135776,19.13572932802793,3.0,2.5,22.13572932802793,21.63572932802793,True,1543,0,4
28.0,104.0,53.0,135.0,1500.0,3764.955559843058,446,361,"[446, 447, 448, 449, 450, 451, 406, 361]",7,8,563.2485550120695,5596.665640208958,706.7886378889361,22.904855175209125,4.0,3.5,26.904855175209125,26.404855175209125,True,1543,3149,5
4.0,104.0,53.0,104.0,1800.0,5448.551405583377,1503,44,"[1503, 1502, 1501, 1500, 1499, 1498, 1497, 1496, 1541, 1586, 1631, 1676, 1721, 1766, 1811, 44]",15,16,647.6913608631272,10706.420379292189,726.0699618247381,40.295148792502495,8.0,7.5,48.29514879250251,47.795148792502495,True,31,3118,6
28.0,73.0,28.0,135.0,2100.0,6015.413069109794,1496,1813,"[1496, 1541, 1586, 1631, 1676, 1721, 1766, 1811, 1812, 1813]",9,10,611.180428174495,6687.63790404108,644.3935949758284,26.4957029946077,5.0,4.5,31.4957029946077,30.9957029946077,True,1512,1574,7
12.0,107.0,47.0,118.0,2400.0,4025.954042909101,527,397,"[527, 528, 529, 530, 531, 532, 487, 442, 397]",8,9,675.9418576046623,6418.018448706598,647.3074578933246,25.82208977453524,4.5,4.0,30.322089774535243,29.82208977453524,True,538,2754,8
27.0,117.0,34.0,86.0,2700.0,3057.4746517550216,527,347,"[527, 482, 437, 392, 347]",4,5,596.6654907320335,2936.323733388534,709.5731191155671,14.15166469343313,2.5,2.0,16.65166469343313,16.15166469343313,True,1493,1903,9
