time_seconds,edge_count,same_plane_edge_count,cross_plane_edge_count,average_degree,minimum_degree,maximum_degree,connected_component_count,largest_component_ratio,is_connected,unweighted_diameter,weighted_diameter_ms,diameter_method,selected_crosslink_shifts
0.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.30597179784759,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
30.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.39795691848492,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
60.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.29490749653426,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
90.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.35368077971594,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
120.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.3273677996195,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
150.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.37068682750933,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
180.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.28261232171333,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
210.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.37954422245129,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
240.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.31999926051147,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
270.0,3680,1840,1840,4.0,4,4,1,1.0,True,37,103.34552736717434,largest_component_double_sweep_approximation,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 27]"
