time_seconds,edge_count,same_plane_edge_count,cross_plane_edge_count,average_degree,minimum_degree,maximum_degree,connected_component_count,largest_component_ratio,is_connected,unweighted_diameter,weighted_diameter_ms,diameter_method,selected_crosslink_shifts
0.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.90697938793602,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
120.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.22559514390328,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
240.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.94216713530038,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
360.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.58040579523059,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
480.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.83149079374589,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
600.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.49196638891773,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
720.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.32236350237066,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
840.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.93558487230017,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
960.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.6312939510941,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
1080.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.58414144013653,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
1200.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.8285536485222,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
