mc_year,annual_avoidance_count,annual_avoidance_cost_cny
0,16207,324140000.0
1,16164,323280000.0
2,16203,324060000.0
3,16263,325260000.0
4,16286,325720000.0
5,16070,321400000.0
6,16245,324900000.0
7,16265,325300000.0
8,15895,317900000.0
9,16157,323140000.0
10,16116,322320000.0
11,16316,326320000.0
12,16094,321880000.0
13,16129,322580000.0
14,16006,320120000.0
15,16183,323660000.0
16,16389,327780000.0
17,16054,321080000.0
18,16086,321720000.0
19,15956,319120000.0
20,16001,320020000.0
21,16402,328040000.0
22,16356,327120000.0
23,16150,323000000.0
24,16074,321480000.0
25,16254,325080000.0
26,16233,324660000.0
27,16118,322360000.0
28,16031,320620000.0
29,16118,322360000.0
30,16229,324580000.0
31,16426,328520000.0
32,16195,323900000.0
33,16110,322200000.0
34,15993,319860000.0
35,16395,327900000.0
36,16267,325340000.0
37,16066,321320000.0
38,16178,323560000.0
39,16150,323000000.0
40,16147,322940000.0
41,15951,319020000.0
42,16199,323980000.0
43,16226,324520000.0
44,16353,327060000.0
45,16136,322720000.0
46,16298,325960000.0
47,16167,323340000.0
48,16290,325800000.0
49,15988,319760000.0
50,16267,325340000.0
51,16179,323580000.0
52,16066,321320000.0
53,16054,321080000.0
54,16185,323700000.0
55,16176,323520000.0
56,16054,321080000.0
57,16305,326100000.0
58,15909,318180000.0
59,16175,323500000.0
60,15913,318260000.0
61,16142,322840000.0
62,16242,324840000.0
63,16206,324120000.0
64,16104,322080000.0
65,16320,326400000.0
66,16033,320660000.0
67,16038,320760000.0
68,16418,328360000.0
69,16175,323500000.0
70,16168,323360000.0
71,16008,320160000.0
72,16260,325200000.0
73,16229,324580000.0
74,16128,322560000.0
75,16100,322000000.0
76,16212,324240000.0
77,16077,321540000.0
78,15973,319460000.0
79,16176,323520000.0
80,16279,325580000.0
81,16003,320060000.0
82,16227,324540000.0
83,16177,323540000.0
84,16105,322100000.0
85,16194,323880000.0
86,16288,325760000.0
87,16291,325820000.0
88,16241,324820000.0
89,16114,322280000.0
90,16526,330520000.0
91,15977,319540000.0
92,16061,321220000.0
93,16122,322440000.0
94,16274,325480000.0
95,16347,326940000.0
96,16170,323400000.0
97,16143,322860000.0
98,16104,322080000.0
99,16018,320360000.0
100,16227,324540000.0
101,16213,324260000.0
102,16146,322920000.0
103,16278,325560000.0
104,16060,321200000.0
105,15992,319840000.0
106,16306,326120000.0
107,16088,321760000.0
108,16008,320160000.0
109,16105,322100000.0
110,16324,326480000.0
111,16276,325520000.0
112,16247,324940000.0
113,16055,321100000.0
114,16249,324980000.0
115,16053,321060000.0
116,15997,319940000.0
117,16250,325000000.0
118,16092,321840000.0
119,16424,328480000.0
120,16087,321740000.0
121,16035,320700000.0
122,16189,323780000.0
123,16060,321200000.0
124,16093,321860000.0
125,16033,320660000.0
126,16207,324140000.0
127,16161,323220000.0
128,16209,324180000.0
129,16201,324020000.0
130,16011,320220000.0
131,16482,329640000.0
132,16027,320540000.0
133,16367,327340000.0
134,16215,324300000.0
135,16221,324420000.0
136,16275,325500000.0
137,16093,321860000.0
138,16178,323560000.0
139,15934,318680000.0
140,16008,320160000.0
141,16232,324640000.0
142,16256,325120000.0
143,16400,328000000.0
144,16202,324040000.0
145,16237,324740000.0
146,16415,328300000.0
147,16313,326260000.0
148,16288,325760000.0
149,16112,322240000.0
150,16082,321640000.0
151,16252,325040000.0
152,15885,317700000.0
153,16279,325580000.0
154,16110,322200000.0
155,16351,327020000.0
156,16205,324100000.0
157,16216,324320000.0
158,16293,325860000.0
159,15866,317320000.0
160,16025,320500000.0
161,16272,325440000.0
162,16250,325000000.0
163,16059,321180000.0
164,16118,322360000.0
165,16176,323520000.0
166,16138,322760000.0
167,16055,321100000.0
168,16307,326140000.0
169,16187,323740000.0
170,16029,320580000.0
171,16181,323620000.0
172,16338,326760000.0
173,16078,321560000.0
174,16061,321220000.0
175,15930,318600000.0
176,16188,323760000.0
177,16206,324120000.0
178,15894,317880000.0
179,15945,318900000.0
180,16045,320900000.0
181,16116,322320000.0
182,16060,321200000.0
183,16161,323220000.0
184,16233,324660000.0
185,16270,325400000.0
186,16030,320600000.0
187,16170,323400000.0
188,16076,321520000.0
189,16227,324540000.0
190,16000,320000000.0
191,16256,325120000.0
192,16237,324740000.0
193,16226,324520000.0
194,16130,322600000.0
195,16042,320840000.0
196,16200,324000000.0
197,16347,326940000.0
198,16098,321960000.0
199,16131,322620000.0
200,16066,321320000.0
201,15991,319820000.0
202,16180,323600000.0
203,16141,322820000.0
204,16000,320000000.0
205,16074,321480000.0
206,16212,324240000.0
207,16391,327820000.0
208,15886,317720000.0
209,16443,328860000.0
210,16086,321720000.0
211,16142,322840000.0
212,16368,327360000.0
213,16190,323800000.0
214,16189,323780000.0
215,16071,321420000.0
216,16199,323980000.0
217,16205,324100000.0
218,16279,325580000.0
219,16051,321020000.0
220,16017,320340000.0
221,16146,322920000.0
222,16061,321220000.0
223,16269,325380000.0
224,16281,325620000.0
225,16020,320400000.0
226,16337,326740000.0
227,16273,325460000.0
228,16054,321080000.0
229,16070,321400000.0
230,16128,322560000.0
231,15971,319420000.0
232,16342,326840000.0
233,16348,326960000.0
234,16296,325920000.0
235,16257,325140000.0
236,16058,321160000.0
237,16028,320560000.0
238,16008,320160000.0
239,16274,325480000.0
240,16390,327800000.0
241,16340,326800000.0
242,16137,322740000.0
243,16346,326920000.0
244,16300,326000000.0
245,16055,321100000.0
246,16140,322800000.0
247,16096,321920000.0
248,15893,317860000.0
249,16344,326880000.0
250,16243,324860000.0
251,16281,325620000.0
252,16259,325180000.0
253,16092,321840000.0
254,16245,324900000.0
255,16354,327080000.0
256,16197,323940000.0
257,15955,319100000.0
258,15997,319940000.0
259,16225,324500000.0
260,16079,321580000.0
261,16153,323060000.0
262,16099,321980000.0
263,16160,323200000.0
264,16578,331560000.0
265,16104,322080000.0
266,15976,319520000.0
267,16105,322100000.0
268,16347,326940000.0
269,16066,321320000.0
270,16088,321760000.0
271,16280,325600000.0
272,16299,325980000.0
273,16105,322100000.0
274,15985,319700000.0
275,16067,321340000.0
276,16127,322540000.0
277,16109,322180000.0
278,16182,323640000.0
279,16122,322440000.0
280,16177,323540000.0
281,16248,324960000.0
282,16172,323440000.0
283,16158,323160000.0
284,16134,322680000.0
285,16058,321160000.0
286,15799,315980000.0
287,16101,322020000.0
288,16066,321320000.0
289,16303,326060000.0
290,16097,321940000.0
291,16325,326500000.0
292,16461,329220000.0
293,16206,324120000.0
294,16254,325080000.0
295,16334,326680000.0
296,16125,322500000.0
297,15922,318440000.0
298,16153,323060000.0
299,16129,322580000.0
300,16159,323180000.0
301,16041,320820000.0
302,16173,323460000.0
303,16097,321940000.0
304,16267,325340000.0
305,16009,320180000.0
306,15982,319640000.0
307,16381,327620000.0
308,16266,325320000.0
309,16247,324940000.0
310,16292,325840000.0
311,16063,321260000.0
312,16325,326500000.0
313,16169,323380000.0
314,16175,323500000.0
315,16246,324920000.0
316,16075,321500000.0
317,16008,320160000.0
318,16124,322480000.0
319,16081,321620000.0
320,16144,322880000.0
321,16151,323020000.0
322,16323,326460000.0
323,16158,323160000.0
324,16315,326300000.0
325,16292,325840000.0
326,16252,325040000.0
327,15916,318320000.0
328,16083,321660000.0
329,16150,323000000.0
330,16220,324400000.0
331,16239,324780000.0
332,16305,326100000.0
333,16045,320900000.0
334,16154,323080000.0
335,16151,323020000.0
336,16116,322320000.0
337,16168,323360000.0
338,16159,323180000.0
339,16418,328360000.0
340,16217,324340000.0
341,16292,325840000.0
342,16087,321740000.0
343,15947,318940000.0
344,16087,321740000.0
345,16220,324400000.0
346,16296,325920000.0
347,16163,323260000.0
348,16126,322520000.0
349,15969,319380000.0
350,16217,324340000.0
351,16229,324580000.0
352,16265,325300000.0
353,16235,324700000.0
354,16240,324800000.0
355,16164,323280000.0
356,16270,325400000.0
357,16056,321120000.0
358,16327,326540000.0
359,15824,316480000.0
360,16047,320940000.0
361,16200,324000000.0
362,15955,319100000.0
363,16120,322400000.0
364,16237,324740000.0
365,16296,325920000.0
366,16013,320260000.0
367,16115,322300000.0
368,16155,323100000.0
369,16155,323100000.0
370,16240,324800000.0
371,16167,323340000.0
372,16234,324680000.0
373,16104,322080000.0
374,15869,317380000.0
375,16024,320480000.0
376,16212,324240000.0
377,16035,320700000.0
378,16297,325940000.0
379,16051,321020000.0
380,16190,323800000.0
381,16019,320380000.0
382,16366,327320000.0
383,16327,326540000.0
384,16021,320420000.0
385,16042,320840000.0
386,16262,325240000.0
387,15985,319700000.0
388,16061,321220000.0
389,16005,320100000.0
390,16074,321480000.0
391,16272,325440000.0
392,16259,325180000.0
393,16266,325320000.0
394,16113,322260000.0
395,16006,320120000.0
396,16070,321400000.0
397,16118,322360000.0
398,16212,324240000.0
399,16194,323880000.0
400,16161,323220000.0
401,16192,323840000.0
402,16099,321980000.0
403,15979,319580000.0
404,16122,322440000.0
405,16223,324460000.0
406,16069,321380000.0
407,16222,324440000.0
408,16026,320520000.0
409,16248,324960000.0
410,16240,324800000.0
411,16028,320560000.0
412,16273,325460000.0
413,16356,327120000.0
414,16188,323760000.0
415,16197,323940000.0
416,16296,325920000.0
417,16201,324020000.0
418,16019,320380000.0
419,16375,327500000.0
420,16453,329060000.0
421,16072,321440000.0
422,16079,321580000.0
423,16089,321780000.0
424,16115,322300000.0
425,16128,322560000.0
426,16158,323160000.0
427,16200,324000000.0
428,16158,323160000.0
429,16060,321200000.0
430,16131,322620000.0
431,15928,318560000.0
432,15964,319280000.0
433,16172,323440000.0
434,16058,321160000.0
435,16115,322300000.0
436,16150,323000000.0
437,16137,322740000.0
438,16204,324080000.0
439,16484,329680000.0
440,16050,321000000.0
441,16331,326620000.0
442,16119,322380000.0
443,16116,322320000.0
444,16231,324620000.0
445,15971,319420000.0
446,16117,322340000.0
447,16299,325980000.0
448,16263,325260000.0
449,16017,320340000.0
450,16195,323900000.0
451,16230,324600000.0
452,16249,324980000.0
453,16151,323020000.0
454,16183,323660000.0
455,16366,327320000.0
456,16262,325240000.0
457,15982,319640000.0
458,16236,324720000.0
459,16120,322400000.0
460,16118,322360000.0
461,16220,324400000.0
462,16054,321080000.0
463,16011,320220000.0
464,16120,322400000.0
465,16096,321920000.0
466,16143,322860000.0
467,16101,322020000.0
468,16143,322860000.0
469,16284,325680000.0
470,16093,321860000.0
471,16132,322640000.0
472,16143,322860000.0
473,16225,324500000.0
474,16413,328260000.0
475,16138,322760000.0
476,16111,322220000.0
477,16197,323940000.0
478,16126,322520000.0
479,16152,323040000.0
480,16302,326040000.0
481,16357,327140000.0
482,15739,314780000.0
483,16093,321860000.0
484,16052,321040000.0
485,16237,324740000.0
486,16083,321660000.0
487,16105,322100000.0
488,16094,321880000.0
489,16326,326520000.0
490,16534,330680000.0
491,16089,321780000.0
492,16187,323740000.0
493,16033,320660000.0
494,15915,318300000.0
495,16333,326660000.0
496,16191,323820000.0
497,16142,322840000.0
498,16084,321680000.0
499,16055,321100000.0
500,16348,326960000.0
501,16266,325320000.0
502,16230,324600000.0
503,16175,323500000.0
504,16273,325460000.0
505,16344,326880000.0
506,16283,325660000.0
507,15987,319740000.0
508,16034,320680000.0
509,16136,322720000.0
510,15893,317860000.0
511,16124,322480000.0
512,16034,320680000.0
513,16140,322800000.0
514,15960,319200000.0
