candidate_id,mc_year,ground_spares_used,replenishment_launch_count
1,188,1,1
1,390,1,1
1,943,1,1
2,8,1,1
2,57,1,1
2,135,1,1
2,158,1,1
2,289,1,1
2,377,1,1
2,539,1,1
2,655,1,1
2,676,1,1
2,712,1,1
3,130,1,1
3,176,1,1
3,348,1,1
3,449,1,1
3,570,1,1
3,775,1,1
4,218,1,1
4,333,1,1
4,344,1,1
4,352,1,1
4,391,1,1
4,464,1,1
4,505,1,1
4,510,1,1
5,22,1,1
5,88,1,1
5,266,1,1
5,673,1,1
5,904,1,1
5,922,1,1
5,996,1,1
6,165,1,1
6,254,1,1
6,266,1,1
6,375,1,1
6,387,1,1
6,457,1,1
6,680,1,1
6,718,1,1
6,825,1,1
6,842,1,1
6,880,1,1
6,914,1,1
6,938,1,1
8,63,1,1
8,245,1,1
8,385,1,1
8,900,1,1
8,929,1,1
9,7,1,1
9,302,1,1
9,371,1,1
9,400,1,1
9,474,1,1
9,492,1,1
9,565,1,1
9,584,1,1
9,899,1,1
9,999,1,1
10,118,1,1
10,174,1,1
10,381,1,1
10,410,1,1
10,783,1,1
10,838,1,1
10,933,1,1
11,163,1,1
11,294,1,1
11,517,1,1
11,539,1,1
11,559,1,1
11,601,1,1
11,628,1,1
11,653,1,1
11,721,1,1
11,724,1,1
11,789,1,1
12,9,1,1
12,109,1,1
12,207,1,1
12,245,1,1
12,298,1,1
12,488,1,1
12,509,1,1
12,530,1,1
12,560,1,1
12,627,1,1
12,714,1,1
12,749,1,1
12,798,1,1
13,94,1,1
13,139,1,1
13,200,1,1
13,285,1,1
13,340,1,1
13,671,1,1
13,672,1,1
13,693,1,1
13,755,1,1
13,816,1,1
15,39,1,1
15,168,1,1
15,262,1,1
15,339,1,1
15,643,1,1
15,697,1,1
15,699,1,1
15,895,1,1
15,906,1,1
15,909,1,1
15,941,1,1
16,2,1,1
16,65,1,1
16,105,1,1
16,149,1,1
16,347,1,1
16,414,1,1
16,620,1,1
16,627,1,1
16,634,1,1
16,679,1,1
16,718,1,1
16,748,1,1
17,17,1,1
17,238,1,1
17,763,1,1
17,767,1,1
18,2,1,1
18,31,1,1
18,84,1,1
18,166,1,1
18,402,1,1
18,417,1,1
18,460,1,1
18,839,1,1
18,899,1,1
18,976,1,1
19,112,1,1
19,155,1,1
19,256,1,1
19,302,1,1
19,912,1,1
20,92,1,1
20,171,1,1
20,211,1,1
20,266,1,1
20,380,1,1
20,520,1,1
20,527,1,1
20,752,1,1
20,863,1,1
20,905,1,1
22,20,1,1
22,297,1,1
22,397,1,1
22,439,1,1
22,531,1,1
22,813,1,1
23,110,1,1
23,190,1,1
23,255,1,1
23,343,1,1
23,345,1,1
23,441,1,1
23,455,1,1
23,522,1,1
23,575,1,1
23,733,1,1
23,735,1,1
23,821,1,1
23,998,1,1
24,21,1,1
24,171,1,1
24,363,1,1
24,397,1,1
24,670,1,1
24,700,1,1
24,730,1,1
24,775,1,1
24,923,1,1
25,264,1,1
25,369,1,1
25,373,1,1
25,403,1,1
25,511,1,1
25,647,1,1
25,653,1,1
25,676,1,1
25,817,1,1
25,847,1,1
25,853,1,1
25,945,1,1
26,144,1,1
26,214,1,1
26,234,1,1
26,306,1,1
26,502,1,1
26,582,1,1
26,681,1,1
26,689,1,1
26,691,1,1
27,114,1,1
27,166,1,1
27,185,1,1
27,412,1,1
27,425,1,1
27,558,1,1
27,576,1,1
27,809,1,1
27,914,1,1
39,561,1,1
47,258,1,1
54,832,1,1
72,957,1,1
73,332,1,1
74,486,1,1
76,823,1,1
79,950,1,1
80,268,1,1
82,188,1,1
82,579,1,1
83,6,1,1
83,830,1,1
93,760,1,1
101,810,1,1
103,715,1,1
104,743,1,1
107,102,1,1
108,332,1,1
108,635,1,1
109,236,1,1
