candidate_id,scheme_type,k_per_plane,extra_plane_count,ground_spare_count,added_satellites
0,无冗余,0,0,0,0
1,地面备用,0,0,1,1
2,地面备用,0,0,5,5
3,地面备用,0,0,10,10
4,地面备用,0,0,20,20
5,地面备用,0,0,40,40
6,地面备用,0,0,60,60
7,额外轨道面,0,1,0,46
8,混合方案,0,1,1,47
9,混合方案,0,1,5,51
10,混合方案,0,1,10,56
11,混合方案,0,1,20,66
12,混合方案,0,1,40,86
13,混合方案,0,1,60,106
14,额外轨道面,0,2,0,92
15,混合方案,0,2,1,93
16,混合方案,0,2,5,97
17,混合方案,0,2,10,102
18,混合方案,0,2,20,112
19,混合方案,0,2,40,132
20,混合方案,0,2,60,152
21,额外轨道面,0,3,0,138
22,混合方案,0,3,1,139
23,混合方案,0,3,5,143
24,混合方案,0,3,10,148
25,混合方案,0,3,20,158
26,混合方案,0,3,40,178
27,混合方案,0,3,60,198
28,每轨在轨备用,1,0,0,40
29,混合方案,1,0,1,41
30,混合方案,1,0,5,45
31,混合方案,1,0,10,50
32,混合方案,1,0,20,60
33,混合方案,1,0,40,80
34,混合方案,1,0,60,100
35,混合方案,1,1,0,86
36,混合方案,1,1,1,87
37,混合方案,1,1,5,91
38,混合方案,1,1,10,96
39,混合方案,1,1,20,106
40,混合方案,1,1,40,126
41,混合方案,1,1,60,146
42,混合方案,1,2,0,132
43,混合方案,1,2,1,133
44,混合方案,1,2,5,137
45,混合方案,1,2,10,142
46,混合方案,1,2,20,152
47,混合方案,1,2,40,172
48,混合方案,1,2,60,192
49,混合方案,1,3,0,178
50,混合方案,1,3,1,179
51,混合方案,1,3,5,183
52,混合方案,1,3,10,188
53,混合方案,1,3,20,198
54,混合方案,1,3,40,218
55,混合方案,1,3,60,238
56,每轨在轨备用,2,0,0,80
57,混合方案,2,0,1,81
58,混合方案,2,0,5,85
59,混合方案,2,0,10,90
60,混合方案,2,0,20,100
61,混合方案,2,0,40,120
62,混合方案,2,0,60,140
63,混合方案,2,1,0,126
64,混合方案,2,1,1,127
65,混合方案,2,1,5,131
66,混合方案,2,1,10,136
67,混合方案,2,1,20,146
68,混合方案,2,1,40,166
69,混合方案,2,1,60,186
70,混合方案,2,2,0,172
71,混合方案,2,2,1,173
72,混合方案,2,2,5,177
73,混合方案,2,2,10,182
74,混合方案,2,2,20,192
75,混合方案,2,2,40,212
76,混合方案,2,2,60,232
77,混合方案,2,3,0,218
78,混合方案,2,3,1,219
79,混合方案,2,3,5,223
80,混合方案,2,3,10,228
81,混合方案,2,3,20,238
82,混合方案,2,3,40,258
83,混合方案,2,3,60,278
84,每轨在轨备用,3,0,0,120
85,混合方案,3,0,1,121
86,混合方案,3,0,5,125
87,混合方案,3,0,10,130
88,混合方案,3,0,20,140
89,混合方案,3,0,40,160
90,混合方案,3,0,60,180
91,混合方案,3,1,0,166
92,混合方案,3,1,1,167
93,混合方案,3,1,5,171
94,混合方案,3,1,10,176
95,混合方案,3,1,20,186
96,混合方案,3,1,40,206
97,混合方案,3,1,60,226
98,混合方案,3,2,0,212
99,混合方案,3,2,1,213
100,混合方案,3,2,5,217
101,混合方案,3,2,10,222
102,混合方案,3,2,20,232
103,混合方案,3,2,40,252
104,混合方案,3,2,60,272
105,混合方案,3,3,0,258
106,混合方案,3,3,1,259
107,混合方案,3,3,5,263
108,混合方案,3,3,10,268
109,混合方案,3,3,20,278
110,混合方案,3,3,40,298
111,混合方案,3,3,60,318
