candidate_id,scheme_type,k_per_plane,extra_plane_count,ground_spare_count,initial_cost_cny,annual_avoidance_cost_cny,five_year_expected_cost_cny,initial_launch_count
0,无冗余,0,0,0,0.0,323245155.8497638,1616225779.248819,0
1,地面备用,0,0,1,5000000.0,323245155.8497638,1624300779.248819,0
2,地面备用,0,0,5,25000000.0,323245155.8497638,1651475779.248819,0
3,地面备用,0,0,10,50000000.0,323245155.8497638,1672375779.248819,0
4,地面备用,0,0,20,100000000.0,323245155.8497638,1724425779.248819,0
5,地面备用,0,0,40,200000000.0,323245155.8497638,1823400779.248819,0
6,地面备用,0,0,60,300000000.0,323245155.8497638,1929550779.248819,0
7,额外轨道面,0,1,0,430000000.0,331326284.74600786,2086631423.7300394,1
8,混合方案,0,1,1,435000000.0,331326284.74600786,2096756423.7300394,1
9,混合方案,0,1,5,455000000.0,331326284.74600786,2121881423.7300394,1
10,混合方案,0,1,10,480000000.0,331326284.74600786,2143806423.7300394,1
11,混合方案,0,1,20,530000000.0,331326284.74600786,2197906423.7300396,1
12,混合方案,0,1,40,630000000.0,331326284.74600786,2299956423.7300396,1
13,混合方案,0,1,60,730000000.0,331326284.74600786,2396881423.7300396,1
14,额外轨道面,0,2,0,860000000.0,339407413.64225197,2557037068.21126,2
15,混合方案,0,2,1,865000000.0,339407413.64225197,2573312068.21126,2
16,混合方案,0,2,5,885000000.0,339407413.64225197,2594337068.21126,2
17,混合方案,0,2,10,910000000.0,339407413.64225197,2611137068.21126,2
18,混合方案,0,2,20,960000000.0,339407413.64225197,2667287068.21126,2
19,混合方案,0,2,40,1060000000.0,339407413.64225197,2762162068.21126,2
20,混合方案,0,2,60,1160000000.0,339407413.64225197,2867287068.21126,2
21,额外轨道面,0,3,0,1290000000.0,347488542.538496,3027442712.69248,3
22,混合方案,0,3,1,1295000000.0,347488542.538496,3038592712.69248,3
23,混合方案,0,3,5,1315000000.0,347488542.538496,3065767712.69248,3
24,混合方案,0,3,10,1340000000.0,347488542.538496,3086667712.69248,3
25,混合方案,0,3,20,1390000000.0,347488542.538496,3139742712.69248,3
26,混合方案,0,3,40,1490000000.0,347488542.538496,3236667712.69248,3
27,混合方案,0,3,60,1590000000.0,347488542.538496,3336667712.69248,3
28,每轨在轨备用,1,0,0,400000000.0,330272224.4551934,2051361122.2759671,1
29,混合方案,1,0,1,405000000.0,330272224.4551934,2056586122.2759671,1
30,混合方案,1,0,5,425000000.0,330272224.4551934,2076611122.2759671,1
31,混合方案,1,0,10,450000000.0,330272224.4551934,2101536122.2759671,1
32,混合方案,1,0,20,500000000.0,330272224.4551934,2151561122.275967,1
33,混合方案,1,0,40,600000000.0,330272224.4551934,2251436122.275967,1
34,混合方案,1,0,60,700000000.0,330272224.4551934,2351636122.275967,1
35,混合方案,1,1,0,830000000.0,338353353.35143757,2521766766.757188,2
36,混合方案,1,1,1,835000000.0,338353353.35143757,2526891766.757188,2
37,混合方案,1,1,5,855000000.0,338353353.35143757,2546991766.757188,2
38,混合方案,1,1,10,880000000.0,338353353.35143757,2571916766.757188,2
39,混合方案,1,1,20,930000000.0,338353353.35143757,2623166766.757188,2
40,混合方案,1,1,40,1030000000.0,338353353.35143757,2722016766.757188,2
41,混合方案,1,1,60,1130000000.0,338353353.35143757,2822041766.757188,2
42,混合方案,1,2,0,1260000000.0,346434482.2476817,2992172411.238408,3
43,混合方案,1,2,1,1265000000.0,346434482.2476817,2997297411.238408,3
44,混合方案,1,2,5,1285000000.0,346434482.2476817,3017272411.238408,3
45,混合方案,1,2,10,1310000000.0,346434482.2476817,3042322411.238408,3
46,混合方案,1,2,20,1360000000.0,346434482.2476817,3092372411.238408,3
47,混合方案,1,2,40,1460000000.0,346434482.2476817,3193347411.238408,3
48,混合方案,1,2,60,1560000000.0,346434482.2476817,3292372411.238408,3
49,混合方案,1,3,0,1490000000.0,354515611.1439257,3262578055.7196283,3
50,混合方案,1,3,1,1495000000.0,354515611.1439257,3267853055.7196283,3
51,混合方案,1,3,5,1515000000.0,354515611.1439257,3287853055.7196283,3
52,混合方案,1,3,10,1540000000.0,354515611.1439257,3312903055.7196283,3
53,混合方案,1,3,20,1590000000.0,354515611.1439257,3362753055.7196283,3
54,混合方案,1,3,40,1690000000.0,354515611.1439257,3463653055.7196283,3
55,混合方案,1,3,60,1790000000.0,354515611.1439257,3562753055.7196283,3
56,每轨在轨备用,2,0,0,800000000.0,337299293.0606231,2486496465.303116,2
57,混合方案,2,0,1,805000000.0,337299293.0606231,2491771465.303116,2
58,混合方案,2,0,5,825000000.0,337299293.0606231,2511721465.303116,2
59,混合方案,2,0,10,850000000.0,337299293.0606231,2536696465.303116,2
60,混合方案,2,0,20,900000000.0,337299293.0606231,2586646465.303116,2
61,混合方案,2,0,40,1000000000.0,337299293.0606231,2686621465.303116,2
62,混合方案,2,0,60,1100000000.0,337299293.0606231,2786671465.303116,2
63,混合方案,2,1,0,1230000000.0,345380421.9568672,2956902109.784336,3
64,混合方案,2,1,1,1235000000.0,345380421.9568672,2962077109.784336,3
65,混合方案,2,1,5,1255000000.0,345380421.9568672,2982152109.784336,3
66,混合方案,2,1,10,1280000000.0,345380421.9568672,3007152109.784336,3
67,混合方案,2,1,20,1330000000.0,345380421.9568672,3057027109.784336,3
68,混合方案,2,1,40,1430000000.0,345380421.9568672,3157052109.784336,3
69,混合方案,2,1,60,1530000000.0,345380421.9568672,3257202109.784336,3
70,混合方案,2,2,0,1460000000.0,353461550.85311127,3227307754.2655563,3
71,混合方案,2,2,1,1465000000.0,353461550.85311127,3232707754.2655563,3
