candidate_id,scheme_type,k_per_plane,extra_plane_count,ground_spare_count,candidate_seed,mc_years,mean_effective_coverage_availability,q05_effective_coverage_availability,mean_geometric_coverage_availability,mean_capacity_availability,mean_annual_avoidance_count,mean_annual_failure_count,mean_replenishment_launch_count,meets_mean_99,meets_robust_99,critical_maneuver_fraction,critical_failure_fraction,added_satellites,added_in_orbit_satellites,ground_inventory_satellites,initial_launch_count,initial_manufacturing_cost_cny,initial_launch_cost_cny,initial_cost_cny,annual_avoidance_cost_cny,annual_expected_replenishment_launch_cost_cny,annual_expected_replacement_manufacturing_cost_cny,five_year_expected_cost_cny
0,无冗余,0,0,0,312295052,1000,1.0,1.0,1.0,0.9994955860249968,16163.49,0.008,0.0,True,True,0.0,0.0,0,0,0,0,0.0,0.0,0.0,323245155.8497638,0.0,0.0,1616225779.248819
1,地面备用,0,0,1,1132668150,1000,0.999999953190394,1.0,1.0,0.9994976638962862,16166.973,0.003,0.003,True,True,0.0,0.0,1,0,1,0,5000000.0,0.0,5000000.0,323245155.8497638,600000.0,15000.0,1624300779.248819
2,地面备用,0,0,5,255694675,1000,0.9999999429223745,1.0,1.0,0.9994971264076705,16160.169,0.01,0.01,True,True,0.0,0.0,5,0,5,0,25000000.0,0.0,25000000.0,323245155.8497638,2000000.0,50000.0,1651475779.248819
3,地面备用,0,0,10,89409212,1000,0.9999999658213272,1.0,1.0,0.9994975503256217,16163.026,0.006,0.006,True,True,0.0,0.0,10,0,10,0,50000000.0,0.0,50000000.0,323245155.8497638,1200000.0,30000.0,1672375779.248819
4,地面备用,0,0,20,1738590641,1000,1.0,1.0,1.0,0.9994972882531149,16159.217,0.008,0.008,True,True,0.0,0.0,20,0,20,0,100000000.0,0.0,100000000.0,323245155.8497638,1600000.0,40000.0,1724425779.248819
5,地面备用,0,0,40,429145488,1000,0.9999999802267499,1.0,1.0,0.9994975488632551,16159.511,0.007,0.007,True,True,0.0,0.0,40,0,40,0,200000000.0,0.0,200000000.0,323245155.8497638,1400000.0,35000.0,1823400779.248819
6,地面备用,0,0,60,866919112,1000,0.9999999429223745,1.0,1.0,0.9994967752602543,16166.081,0.013,0.013,True,True,0.0,0.0,60,0,60,0,300000000.0,0.0,300000000.0,323245155.8497638,2600000.0,65000.0,1929550779.248819
7,额外轨道面,0,1,0,1970098406,1000,1.0,1.0,1.0,0.9994961238631542,16560.944,0.008,0.0,True,True,0.0,0.0,46,46,0,1,230000000.0,200000000.0,430000000.0,331326284.74600786,0.0,0.0,2086631423.7300394
8,混合方案,0,1,1,1756597796,1000,1.0,1.0,1.0,0.9994976614828859,16560.377,0.005,0.005,True,True,0.0,0.0,47,46,1,1,235000000.0,200000000.0,435000000.0,331326284.74600786,1000000.0,25000.0,2096756423.7300394
9,混合方案,0,1,5,1901732873,1000,1.0,1.0,1.0,0.9994971258739238,16562.543,0.01,0.01,True,True,0.0,0.0,51,46,5,1,255000000.0,200000000.0,455000000.0,331326284.74600786,2000000.0,50000.0,2121881423.7300394
10,混合方案,0,1,10,326978069,1000,0.9999998968500567,1.0,1.0,0.9994974301744415,16574.385,0.007,0.007,True,True,0.0,0.0,56,46,10,1,280000000.0,200000000.0,480000000.0,331326284.74600786,1400000.0,35000.0,2143806423.7300394
11,混合方案,0,1,20,969433374,1000,0.9999999739262125,1.0,1.0,0.9994968797914481,16574.059,0.011,0.011,True,True,0.0,0.0,66,46,20,1,330000000.0,200000000.0,530000000.0,331326284.74600786,2200000.0,55000.0,2197906423.7300396
12,混合方案,0,1,40,785926161,1000,1.0,1.0,1.0,0.9994969590304401,16569.146,0.013,0.013,True,True,0.0,0.0,86,46,40,1,430000000.0,200000000.0,630000000.0,331326284.74600786,2600000.0,65000.0,2299956423.7300396
13,混合方案,0,1,60,361107960,1000,1.0,1.0,1.0,0.9994973481930308,16573.177,0.01,0.01,True,True,0.0,0.0,106,46,60,1,530000000.0,200000000.0,730000000.0,331326284.74600786,2000000.0,50000.0,2396881423.7300396
14,额外轨道面,0,2,0,730649529,1000,0.9999999673730408,1.0,1.0,0.9994963596760463,16970.807,0.009,0.0,True,True,0.0,0.0,92,92,0,2,460000000.0,400000000.0,860000000.0,339407413.64225197,0.0,0.0,2557037068.21126
