parameter,value,scenario,expected_annual_maneuvers,annual_collision_probability_post,annual_failure_probability,method,mean_degraded_duration_hours
P_th,0.0001,阈值=1e-04,0.005696712790607444,4.6718985647010464e-05,4.6718985647010464e-05,同一事件样本重新执行决策,
P_th,1e-05,阈值=1e-05,0.8805136508960635,3.158949542599359e-05,3.158949542599359e-05,同一事件样本重新执行决策,
P_th,1e-06,阈值=1e-06,8.78383575678706,4.80246191126779e-06,4.80246191126779e-06,同一事件样本重新执行决策,
q_fail,0.5,碰撞后条件失效概率=0.5,8.78383575678706,4.80246191126779e-06,2.4012338385958687e-06,条件失效危险度缩放,
q_fail,0.8,碰撞后条件失效概率=0.8,8.78383575678706,4.80246191126779e-06,3.84197137410901e-06,条件失效危险度缩放,
q_fail,1.0,碰撞后条件失效概率=1.0,8.78383575678706,4.80246191126779e-06,4.80246191126779e-06,条件失效危险度缩放,
p_detect,0.7,检测成功率=0.7,6.147496150559858,1.7542028771686923e-05,1.7542028771686923e-05,同一事件样本改变检测结果,
p_detect,0.9,检测成功率=0.9,7.911495650329694,9.140191648853641e-06,9.140191648853641e-06,同一事件样本改变检测结果,
p_detect,1.0,检测成功率=1.0,8.78383575678706,4.802142667920896e-06,4.802142667920896e-06,同一事件样本改变检测结果,
beta,2.0,尺寸幂律指数=2.0,8.844453003821572,4.835603618860845e-06,4.835603618860845e-06,通量危险度敏感性缩放,
beta,2.5,尺寸幂律指数=2.5,8.831594616203011,4.828573459329415e-06,4.828573459329415e-06,通量危险度敏感性缩放,
beta,3.0,尺寸幂律指数=3.0,8.824899490714822,4.824912984788378e-06,4.824912984788378e-06,通量危险度敏感性缩放,
A_sat_eff,5.0,平均有效投影面积=5 m²,4.423621323489084,4.342191698100093e-06,4.342191698100093e-06,100000个同源事件重新计算硬体半径和决策,1.001422919376587
A_sat_eff,10.0,平均有效投影面积=10 m²,7.160520294628748,4.5785394911504175e-06,4.5785394911504175e-06,100000个同源事件重新计算硬体半径和决策,1.001408536660224
A_sat_eff,15.0,平均有效投影面积=15 m²,8.681294926556125,4.770426467918012e-06,4.770426467918012e-06,100000个同源事件重新计算硬体半径和决策,1.0014149395766847
A_sat_eff,20.0,平均有效投影面积=20 m²,9.77110085171581,4.914339516564579e-06,4.914339516564579e-06,100000个同源事件重新计算硬体半径和决策,1.001421822595421
A_sat_eff,30.0,平均有效投影面积=30 m²,11.415717066047698,5.017299768470942e-06,5.017299768470942e-06,100000个同源事件重新计算硬体半径和决策,1.0014267386017244
E[V_rel],7.0,截断前速度均值=7 km/s,6.653670777141604,3.637820648023001e-06,3.637820648023001e-06,交会率按截断分布实际均值缩放,1.001424603732127
E[V_rel],10.0,截断前速度均值=10 km/s,8.78383575678706,4.80246191126779e-06,4.80246191126779e-06,交会率按截断分布实际均值缩放,1.001424603732127
E[V_rel],14.0,截断前速度均值=14 km/s,11.402929948674032,6.2344172936537366e-06,6.2344172936537366e-06,交会率按截断分布实际均值缩放,1.001424603732127
B_screen,2.0,筛选半径=2 km,8.775909895513172,4.665128978395242e-06,4.665128978395242e-06,100000个面积分层事件重新抽样最近距离,1.0014258115487005
B_screen,5.0,筛选半径=5 km,8.8645804685148,4.887987028298516e-06,4.887987028298516e-06,100000个面积分层事件重新抽样最近距离,1.0014245732160758
